id_discente,codigo,timestamp
999002,QXD0120,2015-02-01
999002,QXD0021,2015-02-01
999002,QXD0025_APROVADO,2015-06-01
999002,QXD0119_APROVADO,2015-06-01
999002,QXD0020_APROVADO,2015-06-01
999002,QXD0120_APROVADO,2015-06-01
999002,QXD0021_APROVADO,2015-06-01
999002,QXD0019,2015-08-01
999002,QXD0037,2015-08-01
999002,QXD0038,2015-08-01
999002,QXD0043,2015-08-01
999002,QXD0046,2015-08-01
999002,QXD0019_APROVADO,2015-12-01
999002,QXD0037_APROVADO,2015-12-01
999002,QXD0038_APROVADO,2015-12-01
999002,QXD0043_APROVADO,2015-12-01
999002,QXD0046_APROVADO,2015-12-01
999002,verificador,2015-12-02
999002,QXD0029,2016-02-01
999002,QXD0110,2016-02-01
999002,QXD0029_APROVADO,2016-06-01
999002,QXD0110_APROVADO,2016-06-01
999003,Iniciou,2014-01-01
999003,QXD0005,2014-02-01
999003,QXD0103,2014-02-01
999003,QXD0001,2014-02-01
999003,QXD0108,2014-02-01
999003,QXD0056,2014-02-01
999003,QXD0109,2014-02-01
999003,QXD0005_REPFALTA,2014-06-01
999003,QXD0103_REPFALTA,2014-06-01
999003,QXD0001_REPFALTA,2014-06-01
999003,QXD0108_REPFALTA,2014-06-01
999003,QXD0056_REPFALTA,2014-06-01
999003,QXD0109_REPFALTA,2014-06-01
999004,Iniciou,2018-01-01
999004,QXD0005,2018-02-01
999004,QXD0103,2018-02-01
999004,QXD0001,2018-02-01
999004,QXD0108,2018-02-01
999004,QXD0056,2018-02-01
999004,QXD0109,2018-02-01
999004,QXD0005_APROVADO,2018-06-01
999004,QXD0103_APROVADO,2018-06-01
999004,QXD0001_APROVADO,2018-06-01
999004,QXD0108_APROVADO,2018-06-01
999004,QXD0056_APROVADO,2018-06-01
999004,QXD0109_APROVADO,2018-06-01
999004,QXD0006,2018-08-01
999004,QXD0010,2018-08-01
999004,QXD0008,2018-08-01
999004,QXD0007,2018-08-01
999004,QXD0013,2018-08-01
999004,QXD0006_APROVADO,2018-12-01
999004,QXD0010_APROVADO,2018-12-01
999004,QXD0008_APROVADO,2018-12-01
999004,QXD0007_APROVADO,2018-12-01
999004,QXD0013_APROVADO,2018-12-01
999004,QXD0029,2019-02-01
999004,QXD0115,2019-02-01
999004,QXD0040,2019-02-01
999004,QXD0017,2019-02-01
999004,QXD0012,2019-02-01
999004,QXD0114,2019-02-01
999004,QXD0029_APROVADO,2019-06-01
999004,QXD0115_APROVADO,2019-06-01
999004,QXD0040_APROVADO,2019-06-01
999004,QXD0017_APROVADO,2019-06-01
999004,QXD0012_APROVADO,2019-06-01
999004,QXD0114_APROVADO,2019-06-01
999004,QXD0116,2019-08-01
999004,QXD0014,2019-08-01
999004,QXD0019,2019-08-01
999004,QXD0011,2019-08-01
999004,QXD0016,2019-08-01
999004,QXD0041,2019-08-01
999004,QXD0021,2019-08-01
999004,QXD0116_APROVADO,2019-12-01
999004,QXD0014_APROVADO,2019-12-01
999004,QXD0019_APROVADO,2019-12-01
999004,QXD0011_APROVADO,2019-12-01
999004,QXD0016_APROVADO,2019-12-01
999004,QXD0041_APROVADO,2019-12-01
999004,QXD0021_APROVADO,2019-12-01
999004,QXD0025,2020-02-01
999004,QXD0119,2020-02-01
999004,QXD0020,2020-02-01
999004,QXD0120,2020-02-01
999004,QXD0025_APROVADO,2020-06-01
999004,QXD0119_SUPRIMIDO,2020-06-01
999004,QXD0020_APROVADO,2020-06-01
999004,QXD0120_APROVADO,2020-06-01
999004,QXD0119,2020-08-01
999004,QXD0037,2020-08-01
999004,QXD0038,2020-08-01
999004,QXD0043,2020-08-01
999004,QXD0046,2020-08-01
999004,QXD0119_APROVADO,2020-12-01
999004,QXD0037_APROVADO,2020-12-01
999004,QXD0038_APROVADO,2020-12-01
999004,QXD0043_APROVADO,2020-12-01
